HCPCS_CODE,in_hcpcs_2026,in_hedis,in_either,in_comprehensive
0381,FALSE,FALSE,FALSE,FALSE
0383,FALSE,FALSE,FALSE,FALSE
0390,FALSE,FALSE,FALSE,FALSE
0391,FALSE,FALSE,FALSE,FALSE
0394T,FALSE,FALSE,FALSE,FALSE
0399T,FALSE,FALSE,FALSE,FALSE
0400,FALSE,FALSE,FALSE,FALSE
0401,FALSE,FALSE,FALSE,FALSE
0402,FALSE,FALSE,FALSE,FALSE
0402T,FALSE,FALSE,FALSE,TRUE
0403,FALSE,FALSE,FALSE,FALSE
0403T,FALSE,FALSE,FALSE,TRUE
0404,FALSE,FALSE,FALSE,FALSE
0407U,FALSE,FALSE,FALSE,FALSE
0409,FALSE,FALSE,FALSE,FALSE
0410,FALSE,FALSE,FALSE,FALSE
0411U,FALSE,FALSE,FALSE,FALSE
0412,FALSE,FALSE,FALSE,FALSE
0419U,FALSE,FALSE,FALSE,FALSE
0420,FALSE,FALSE,FALSE,FALSE
0421,FALSE,FALSE,FALSE,FALSE
0422T,FALSE,FALSE,FALSE,TRUE
0422U,FALSE,FALSE,FALSE,FALSE
0423,FALSE,FALSE,FALSE,FALSE
0424,FALSE,FALSE,FALSE,FALSE
0427U,FALSE,FALSE,FALSE,FALSE
0430,FALSE,FALSE,FALSE,FALSE
0431,FALSE,FALSE,FALSE,FALSE
0434,FALSE,FALSE,FALSE,FALSE
0439,FALSE,FALSE,FALSE,FALSE
0439T,FALSE,FALSE,FALSE,TRUE
0440,FALSE,FALSE,FALSE,FALSE
0441,FALSE,FALSE,FALSE,FALSE
0441U,FALSE,FALSE,FALSE,FALSE
0444,FALSE,FALSE,FALSE,FALSE
0449U,FALSE,FALSE,FALSE,FALSE
0450,FALSE,FALSE,FALSE,FALSE
0451,FALSE,FALSE,FALSE,FALSE
0456,FALSE,FALSE,FALSE,FALSE
0456U,FALSE,FALSE,FALSE,FALSE
0459,FALSE,FALSE,FALSE,FALSE
0460,FALSE,FALSE,FALSE,FALSE
0464T,FALSE,FALSE,FALSE,TRUE
0469T,FALSE,FALSE,FALSE,TRUE
0470,FALSE,FALSE,FALSE,FALSE
0471,FALSE,FALSE,FALSE,FALSE
0479,FALSE,FALSE,FALSE,FALSE
0479T,FALSE,FALSE,FALSE,TRUE
0480,FALSE,FALSE,FALSE,FALSE
0480T,FALSE,FALSE,FALSE,TRUE
0481,FALSE,FALSE,FALSE,FALSE
0482,FALSE,FALSE,FALSE,FALSE
0482T,FALSE,FALSE,FALSE,FALSE
0483,FALSE,FALSE,FALSE,FALSE
0486T,FALSE,FALSE,FALSE,TRUE
0488T,FALSE,FALSE,FALSE,TRUE
0488U,FALSE,FALSE,FALSE,FALSE
0489,FALSE,FALSE,FALSE,FALSE
0490,FALSE,FALSE,FALSE,FALSE
0500,FALSE,FALSE,FALSE,FALSE
0500F,FALSE,FALSE,FALSE,TRUE
0500T,FALSE,FALSE,FALSE,FALSE
0501F,FALSE,FALSE,FALSE,TRUE
0501T,FALSE,FALSE,FALSE,FALSE
0502F,FALSE,FALSE,FALSE,TRUE
0502T,FALSE,FALSE,FALSE,FALSE
0503F,FALSE,FALSE,FALSE,TRUE
0503T,FALSE,FALSE,FALSE,FALSE
0505F,FALSE,FALSE,FALSE,TRUE
0507T,FALSE,FALSE,FALSE,TRUE
0509F,FALSE,FALSE,FALSE,TRUE
